Timestamp,Heart_rate,Feedback
2023-08-11 15:47:31.179,95.0,
2023-08-11 15:47:32.168,94.0,
2023-08-11 15:47:33.159,94.0,
2023-08-11 15:47:34.193,94.0,
2023-08-11 15:47:35.228,93.0,
2023-08-11 15:47:36.173,93.0,
2023-08-11 15:47:37.164,92.0,
2023-08-11 15:47:38.244,91.0,
2023-08-11 15:47:39.233,90.0,
2023-08-11 15:47:40.178,89.0,
2023-08-11 15:47:41.169,88.0,
2023-08-11 15:47:42.159,87.0,
2023-08-11 15:47:43.148,85.0,
2023-08-11 15:47:44.183,84.0,
2023-08-11 15:47:45.174,83.0,
2023-08-11 15:47:46.568,82.0,
2023-08-11 15:47:47.558,82.0,
2023-08-11 15:47:48.548,81.0,
2023-08-11 15:47:49.538,80.0,
2023-08-11 15:47:50.528,79.0,
2023-08-11 15:47:51.519,79.0,
2023-08-11 15:47:52.509,79.0,
2023-08-11 15:47:53.498,79.0,
2023-08-11 15:47:54.488,80.0,
2023-08-11 15:47:55.478,80.0,
2023-08-11 15:47:56.468,81.0,
2023-08-11 15:47:57.458,82.0,
2023-08-11 15:47:58.448,83.0,
2023-08-11 15:47:59.438,84.0,
2023-08-11 15:48:00.428,84.0,
2023-08-11 15:48:45.474,88.0,
2023-08-11 15:48:46.463,88.0,
2023-08-11 15:48:47.452,87.0,
2023-08-11 15:48:48.442,87.0,
2023-08-11 15:48:49.433,87.0,
2023-08-11 15:48:50.424,87.0,
2023-08-11 15:48:51.413,87.0,
2023-08-11 15:48:52.402,87.0,
2023-08-11 15:48:53.393,86.0,
2023-08-11 15:48:54.383,86.0,
2023-08-11 15:48:55.372,85.0,
2023-08-11 15:48:56.363,85.0,
2023-08-11 15:48:57.353,85.0,
2023-08-11 15:48:58.343,85.0,
2023-08-11 15:48:59.333,85.0,
2023-08-11 15:49:00.323,85.0,
2023-08-11 15:49:01.313,85.0,
2023-08-11 15:49:02.303,85.0,
2023-08-11 15:49:03.293,85.0,
2023-08-11 15:49:04.283,85.0,
2023-08-11 15:49:05.273,86.0,
2023-08-11 15:49:06.263,86.0,
2023-08-11 15:49:07.253,86.0,
2023-08-11 15:49:08.738,86.0,
2023-08-11 15:49:09.233,86.0,
2023-08-11 15:49:10.223,86.0,
2023-08-11 15:49:11.213,86.0,
2023-08-11 15:49:12.202,85.0,
2023-08-11 15:49:13.193,85.0,
2023-08-11 15:49:14.183,85.0,
2023-08-11 15:49:15.172,85.0,
2023-08-11 15:49:16.163,85.0,
2023-08-11 15:49:17.153,85.0,
2023-08-11 15:49:18.638,85.0,
2023-08-11 15:49:19.627,84.0,
2023-08-11 15:49:20.618,84.0,
2023-08-11 15:49:21.607,84.0,
2023-08-11 15:49:22.597,84.0,
2023-08-11 15:49:23.588,85.0,
2023-08-11 15:49:24.577,85.0,
2023-08-11 15:49:25.567,85.0,
2023-08-11 15:49:26.558,85.0,
2023-08-11 15:49:27.547,86.0,
2023-08-11 15:49:28.537,86.0,
2023-08-11 15:49:29.527,87.0,
2023-08-11 15:49:30.518,87.0,
2023-08-11 15:49:31.507,88.0,
2023-08-11 15:49:32.498,88.0,
2023-08-11 15:49:33.488,88.0,
2023-08-11 15:49:34.477,88.0,
2023-08-11 15:49:35.467,88.0,
2023-08-11 15:49:36.458,89.0,
2023-08-11 15:49:37.447,91.0,
2023-08-11 15:49:38.438,91.0,
2023-08-11 15:49:39.427,92.0,
2023-08-11 15:49:40.418,92.0,
2023-08-11 15:49:41.407,92.0,
2023-08-11 15:49:42.397,92.0,
2023-08-11 15:49:43.387,92.0,
2023-08-11 15:49:44.377,92.0,
2023-08-11 15:49:45.368,92.0,
2023-08-11 15:49:46.358,92.0,
2023-08-11 15:49:47.347,92.0,
2023-08-11 15:49:48.337,92.0,
2023-08-11 15:49:49.327,92.0,
2023-08-11 15:49:50.317,92.0,
2023-08-11 15:49:51.307,92.0,
2023-08-11 15:49:52.297,91.0,
2023-08-11 15:49:53.288,90.0,
2023-08-11 15:49:54.277,90.0,
2023-08-11 15:49:55.268,89.0,
2023-08-11 15:49:56.257,88.0,
2023-08-11 15:49:57.248,87.0,
2023-08-11 15:49:58.238,86.0,
2023-08-11 15:49:59.227,86.0,
2023-08-11 15:50:00.217,85.0,
2023-08-11 15:50:01.207,85.0,
2023-08-11 15:50:02.198,85.0,
2023-08-11 15:50:03.187,85.0,
2023-08-11 15:50:04.177,85.0,
2023-08-11 15:50:05.167,85.0,
2023-08-11 15:50:06.158,86.0,
2023-08-11 15:50:07.147,86.0,
2023-08-11 15:50:07.669,86.0,Start
2023-08-11 15:50:07.710,,
2023-08-11 15:50:07.712,,
2023-08-11 15:50:07.714,,
2023-08-11 15:50:07.715,,
2023-08-11 15:50:07.791,,
2023-08-11 15:50:07.793,,
2023-08-11 15:50:07.794,,
2023-08-11 15:50:07.796,,
2023-08-11 15:50:07.870,,
2023-08-11 15:50:07.872,,
2023-08-11 15:50:07.874,,
2023-08-11 15:50:07.876,,
2023-08-11 15:50:07.952,,
2023-08-11 15:50:07.954,,
2023-08-11 15:50:07.957,,
2023-08-11 15:50:07.959,,
2023-08-11 15:50:08.034,,
2023-08-11 15:50:08.036,,
2023-08-11 15:50:08.039,,
2023-08-11 15:50:08.041,,
2023-08-11 15:50:08.123,,
2023-08-11 15:50:08.125,,
2023-08-11 15:50:08.127,,
