Timestamp,Heart_rate,Feedback,Movement,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle
2023-08-18 10:22:51.259,86,,,,,,
2023-08-18 10:22:52.201,85,,,,,,
2023-08-18 10:22:53.190,85,,,,,,
2023-08-18 10:22:54.180,85,,,,,,
2023-08-18 10:22:55.216,85,,,,,,
2023-08-18 10:22:56.206,86,,,,,,
2023-08-18 10:22:57.240,87,,,,,,
2023-08-18 10:22:58.185,88,,,,,,
2023-08-18 10:22:59.220,88,,,,,,
2023-08-18 10:23:00.210,89,,,,,,
2023-08-18 10:23:01.200,89,,,,,,
2023-08-18 10:23:02.191,89,,,,,,
2023-08-18 10:23:03.180,88,,,,,,
2023-08-18 10:23:04.260,87,,,,,,
2023-08-18 10:23:05.205,86,,,,,,
2023-08-18 10:23:06.466,85,,,,,,
2023-08-18 10:23:07.456,84,,,,,,
2023-08-18 10:23:08.445,83,,,,,,
2023-08-18 10:23:09.436,84,,,,,,
2023-08-18 10:23:10.426,84,,,,,,
2023-08-18 10:23:11.416,84,,,,,,
2023-08-18 10:23:12.405,85,,,,,,
2023-08-18 10:23:13.395,85,,,,,,
2023-08-18 10:23:14.386,86,,,,,,
2023-08-18 10:23:15.375,87,,,,,,
2023-08-18 10:23:16.365,87,,,,,,
2023-08-18 10:23:17.355,88,,,,,,
2023-08-18 10:23:18.345,89,,,,,,
2023-08-18 10:23:19.335,89,,,,,,
2023-08-18 10:23:20.325,89,,,,,,
2023-08-18 10:23:21.316,89,,,,,,
2023-08-18 10:23:22.305,89,,,,,,
2023-08-18 10:23:23.295,87,,,,,,
2023-08-18 10:23:24.287,86,,,,,,
2023-08-18 10:23:25.275,85,,,,,,
2023-08-18 10:23:26.265,85,,,,,,
2023-08-18 10:23:27.256,85,,,,,,
2023-08-18 10:23:28.245,85,,,,,,
2023-08-18 10:23:29.235,86,,,,,,
2023-08-18 10:23:30.225,87,,,,,,
2023-08-18 10:23:31.215,88,,,,,,
2023-08-18 10:23:32.205,89,,,,,,
2023-08-18 10:23:33.196,88,,,,,,
2023-08-18 10:23:34.186,88,,,,,,
2023-08-18 10:23:35.670,86,,,,,,
2023-08-18 10:23:36.660,85,,,,,,
2023-08-18 10:23:37.650,84,,,,,,
2023-08-18 10:23:38.641,83,,,,,,
2023-08-18 10:23:39.630,84,,,,,,
2023-08-18 10:23:40.620,84,,,,,,
2023-08-18 10:23:41.611,85,,,,,,
2023-08-18 10:23:42.600,86,,,,,,
2023-08-18 10:23:43.591,86,,,,,,
2023-08-18 10:23:44.580,86,,,,,,
2023-08-18 10:23:45.570,86,,,,,,
2023-08-18 10:23:46.561,86,,,,,,
2023-08-18 10:23:47.551,85,,,,,,
2023-08-18 10:23:48.540,84,,,,,,
2023-08-18 10:23:49.531,83,,,,,,
2023-08-18 10:23:50.520,83,,,,,,
2023-08-18 10:23:51.510,83,,,,,,
2023-08-18 10:23:52.500,84,,,,,,
2023-08-18 10:23:53.490,83,,,,,,
2023-08-18 10:23:54.480,83,,,,,,
2023-08-18 10:23:55.470,83,,,,,,
2023-08-18 10:23:56.460,82,,,,,,
2023-08-18 10:23:57.452,82,,,,,,
2023-08-18 10:23:58.440,81,,,,,,
2023-08-18 10:23:59.430,81,,,,,,
2023-08-18 10:24:00.420,81,,,,,,
2023-08-18 10:24:01.411,81,,,,,,
2023-08-18 10:24:02.400,81,,,,,,
2023-08-18 10:24:03.390,80,,,,,,
2023-08-18 10:24:04.380,79,,,,,,
2023-08-18 10:24:05.370,78,,,,,,
2023-08-18 10:24:06.360,78,,,,,,
2023-08-18 10:24:07.350,78,,,,,,
2023-08-18 10:24:08.340,79,,,,,,
2023-08-18 10:24:09.331,79,,,,,,
2023-08-18 10:24:10.321,79,,,,,,
2023-08-18 10:24:11.310,80,,,,,,
2023-08-18 10:24:12.300,80,,,,,,
2023-08-18 10:24:13.290,81,,,,,,
2023-08-18 10:24:14.280,81,,,,,,
2023-08-18 10:24:15.270,81,,,,,,
2023-08-18 10:24:16.260,80,,,,,,
2023-08-18 10:24:17.250,80,,,,,,
2023-08-18 10:24:18.240,80,,,,,,
2023-08-18 10:24:19.230,81,,,,,,
2023-08-18 10:24:20.220,81,,,,,,
2023-08-18 10:24:21.210,81,,,,,,
2023-08-18 10:24:22.200,81,,,,,,
2023-08-18 10:24:23.190,82,,,,,,
2023-08-18 10:24:24.180,82,,,,,,
2023-08-18 10:24:25.665,82,,,,,,
2023-08-18 10:24:26.655,82,,,,,,
2023-08-18 10:24:27.645,81,,,,,,
2023-08-18 10:24:28.635,80,,,,,,
2023-08-18 10:24:29.625,80,,,,,,
2023-08-18 10:24:30.615,80,,,,,,
2023-08-18 10:24:31.605,80,,,,,,
2023-08-18 10:24:32.168,,Start,,,,,
2023-08-18 10:24:32.251,,,,15,,,
2023-08-18 10:24:32.253,,,,,12,,
2023-08-18 10:24:32.254,,,,,,171,
2023-08-18 10:24:32.256,,,,,,,172
2023-08-18 10:24:32.333,,,,15,,,
2023-08-18 10:24:32.335,,,,,12,,
2023-08-18 10:24:32.337,,,,,,171,
2023-08-18 10:24:32.339,,,,,,,172
2023-08-18 10:24:32.419,,,,15,,,
2023-08-18 10:24:32.421,,,,,12,,
2023-08-18 10:24:32.423,,,,,,171,
2023-08-18 10:24:32.425,,,,,,,172
2023-08-18 10:24:32.506,,,,15,,,
2023-08-18 10:24:32.508,,,,,12,,
2023-08-18 10:24:32.509,,,,,,171,
2023-08-18 10:24:32.511,,,,,,,172
2023-08-18 10:24:32.583,,,,14,,,
2023-08-18 10:24:32.585,,,,,12,,
2023-08-18 10:24:32.587,,,,,,171,
2023-08-18 10:24:32.589,,,,,,,172
2023-08-18 10:24:32.595,80,,,,,,
2023-08-18 10:24:32.668,,,,14,,,
2023-08-18 10:24:32.670,,,,,12,,
2023-08-18 10:24:32.671,,,,,,171,
2023-08-18 10:24:32.673,,,,,,,172
2023-08-18 10:24:32.746,,,,14,,,
2023-08-18 10:24:32.748,,,,,12,,
2023-08-18 10:24:32.750,,,,,,171,
2023-08-18 10:24:32.751,,,,,,,172
2023-08-18 10:24:32.832,,,,14,,,
2023-08-18 10:24:32.833,,,,,12,,
2023-08-18 10:24:32.835,,,,,,171,
2023-08-18 10:24:32.837,,,,,,,172
2023-08-18 10:24:32.907,,,,15,,,
2023-08-18 10:24:32.909,,,,,13,,
2023-08-18 10:24:32.911,,,,,,170,
2023-08-18 10:24:32.913,,,,,,,171
2023-08-18 10:24:32.985,,,,17,,,
2023-08-18 10:24:32.987,,,,,15,,
2023-08-18 10:24:32.989,,,,,,166,
2023-08-18 10:24:32.991,,,,,,,166
2023-08-18 10:24:33.063,,,,19,,,
2023-08-18 10:24:33.065,,,,,18,,
2023-08-18 10:24:33.067,,,,,,162,
2023-08-18 10:24:33.069,,,,,,,160
2023-08-18 10:24:33.144,,,,23,,,
2023-08-18 10:24:33.146,,,,,23,,
2023-08-18 10:24:33.147,,,,,,155,
2023-08-18 10:24:33.149,,,,,,,149
2023-08-18 10:24:33.220,,,,26,,,
2023-08-18 10:24:33.222,,,,,28,,
2023-08-18 10:24:33.224,,,,,,145,
2023-08-18 10:24:33.226,,,,,,,137
2023-08-18 10:24:33.296,,,,31,,,
2023-08-18 10:24:33.298,,,,,35,,
2023-08-18 10:24:33.299,,,,,,129,
2023-08-18 10:24:33.301,,,,,,,121
2023-08-18 10:24:33.380,,,,35,,,
2023-08-18 10:24:33.381,,,,,41,,
2023-08-18 10:24:33.383,,,,,,109,
2023-08-18 10:24:33.385,,,,,,,103
2023-08-18 10:24:33.466,,,,43,,,
2023-08-18 10:24:33.468,,,,,55,,
2023-08-18 10:24:33.470,,,,,,63,
2023-08-18 10:24:33.471,,,,,,,63
2023-08-18 10:24:33.541,,,,50,,,
2023-08-18 10:24:33.543,,,,,61,,
2023-08-18 10:24:33.545,,,,,,48,
2023-08-18 10:24:33.547,,,,,,,45
2023-08-18 10:24:33.585,81,,,,,,
2023-08-18 10:24:33.620,,,,57,,,
2023-08-18 10:24:33.623,,,,,66,,
2023-08-18 10:24:33.625,,,,,,37,
2023-08-18 10:24:33.627,,,,,,,36
2023-08-18 10:24:33.706,,,,64,,,
2023-08-18 10:24:33.708,,,,,72,,
2023-08-18 10:24:33.709,,,,,,30,
2023-08-18 10:24:33.711,,,,,,,23
2023-08-18 10:24:33.795,,,,74,,,
2023-08-18 10:24:33.797,,,,,80,,
2023-08-18 10:24:33.799,,,,,,21,
2023-08-18 10:24:33.801,,,,,,,10
2023-08-18 10:24:33.878,,,,89,,,
2023-08-18 10:24:33.880,,,,,94,,
2023-08-18 10:24:33.882,,,,,,2,
2023-08-18 10:24:33.885,,,,,,,3
2023-08-18 10:24:33.962,,,,95,,,
2023-08-18 10:24:33.965,,,,,101,,
2023-08-18 10:24:33.967,,,,,,10,
2023-08-18 10:24:33.969,,,,,,,10
2023-08-18 10:24:34.043,,,,102,,,
2023-08-18 10:24:34.045,,,,,109,,
2023-08-18 10:24:34.047,,,,,,12,
2023-08-18 10:24:34.049,,,,,,,16
2023-08-18 10:24:34.125,,,,105,,,
2023-08-18 10:24:34.127,,,,,112,,
2023-08-18 10:24:34.129,,,,,,20,
2023-08-18 10:24:34.132,,,,,,,19
2023-08-18 10:24:34.136,,,Right movement,,,,
2023-08-18 10:24:34.215,,,,108,,,
2023-08-18 10:24:34.217,,,,,115,,
2023-08-18 10:24:34.220,,,,,,25,
2023-08-18 10:24:34.222,,,,,,,23
2023-08-18 10:24:34.301,,,,111,,,
2023-08-18 10:24:34.303,,,,,118,,
2023-08-18 10:24:34.306,,,,,,25,
2023-08-18 10:24:34.308,,,,,,,24
2023-08-18 10:24:34.396,,,,114,,,
2023-08-18 10:24:34.398,,,,,118,,
2023-08-18 10:24:34.400,,,,,,24,
2023-08-18 10:24:34.403,,,,,,,23
2023-08-18 10:24:34.480,,,,116,,,
2023-08-18 10:24:34.482,,,,,118,,
2023-08-18 10:24:34.484,,,,,,24,
2023-08-18 10:24:34.487,,,,,,,22
2023-08-18 10:24:34.564,,,,116,,,
2023-08-18 10:24:34.566,,,,,117,,
2023-08-18 10:24:34.568,,,,,,24,
2023-08-18 10:24:34.569,,,,,,,22
2023-08-18 10:24:34.575,81,,,,,,
2023-08-18 10:24:34.645,,,,115,,,
2023-08-18 10:24:34.647,,,,,117,,
2023-08-18 10:24:34.649,,,,,,24,
2023-08-18 10:24:34.651,,,,,,,20
2023-08-18 10:24:34.654,,,Right movement,,,,
2023-08-18 10:24:34.730,,,,115,,,
2023-08-18 10:24:34.732,,,,,116,,
2023-08-18 10:24:34.734,,,,,,24,
2023-08-18 10:24:34.736,,,,,,,21
2023-08-18 10:24:34.814,,,,113,,,
